Kategorie: Alle Kategorien

Region,Donald Trump: (11.12.15 bis 11.12.15),Hillary Clinton: (11.12.15 bis 11.12.15)
Vermont,69%,31%
North Dakota,76%,24%
Iowa,91%,9%
Massachusetts,87%,13%
Washington,88%,12%
New Jersey,92%,8%
New Hampshire,100%,
New York,89%,11%
Connecticut,93%,7%
Maryland,88%,12%
West Virginia,100%,
Michigan,90%,10%
Colorado,91%,9%
Virginia,91%,9%
Rhode Island,85%,15%
California,92%,8%
Nevada,89%,11%
Maine,89%,11%
South Carolina,87%,13%
Pennsylvania,91%,9%
District of Columbia,91%,9%
Illinois,89%,11%
Oregon,93%,7%
Arizona,96%,4%
Oklahoma,86%,14%
Indiana,92%,8%
Hawaii,89%,11%
Minnesota,88%,12%
Ohio,91%,9%
Georgia,88%,12%
Wisconsin,88%,12%
Florida,95%,5%
Missouri,82%,18%
Utah,94%,6%
Kentucky,82%,18%
New Mexico,100%,
Texas,92%,8%
North Carolina,90%,10%
Tennessee,88%,12%
Delaware,100%,
Nebraska,81%,19%
Arkansas,90%,10%
Alabama,79%,21%
Kansas,92%,8%
Idaho,100%,
Montana,100%,
Alaska,69%,31%
Louisiana,81%,19%
Wyoming,100%,
Mississippi,62%,38%
South Dakota,100%,
