Kategorie: Alle Kategorien

Region,Donald Trump: (23.06.16 bis 23.06.16),Hillary Clinton: (23.06.16 bis 23.06.16)
Montana,68%,32%
Wyoming,76%,24%
Nebraska,62%,38%
New Mexico,78%,22%
Oklahoma,70%,30%
North Dakota,76%,24%
Indiana,73%,27%
New Hampshire,76%,24%
New Jersey,71%,29%
Connecticut,74%,26%
Illinois,70%,30%
Kansas,70%,30%
Kentucky,68%,32%
Pennsylvania,78%,22%
District of Columbia,53%,47%
Minnesota,67%,33%
California,66%,34%
New York,65%,35%
Georgia,67%,33%
Massachusetts,64%,36%
Alabama,69%,31%
Arizona,64%,36%
Virginia,69%,31%
Oregon,56%,44%
Michigan,64%,36%
West Virginia,100%,
Mississippi,71%,29%
Louisiana,64%,36%
Arkansas,61%,39%
Colorado,63%,37%
Nevada,71%,29%
Vermont,44%,56%
Delaware,51%,49%
Texas,67%,33%
Maryland,70%,30%
North Carolina,60%,40%
Washington,64%,36%
Alaska,68%,32%
Florida,64%,36%
Tennessee,55%,45%
Ohio,64%,36%
Rhode Island,55%,45%
South Carolina,56%,44%
Missouri,64%,36%
Idaho,55%,45%
Maine,47%,53%
Hawaii,59%,41%
Wisconsin,61%,39%
Iowa,61%,39%
Utah,48%,52%
South Dakota,51%,49%
