Kategorie: Alle Kategorien

Region,Donald Trump: (22.11.15 bis 22.11.15),Hillary Clinton: (22.11.15 bis 22.11.15)
South Dakota,100%,
Wyoming,100%,
Delaware,68%,32%
Alabama,82%,18%
New Hampshire,71%,29%
Alaska,68%,32%
New Jersey,89%,11%
Pennsylvania,81%,19%
Hawaii,65%,35%
New York,84%,16%
Iowa,73%,27%
Nevada,70%,30%
North Dakota,61%,39%
Michigan,96%,4%
California,82%,18%
Oregon,75%,25%
Massachusetts,80%,20%
Mississippi,76%,24%
Arkansas,81%,19%
Maryland,81%,19%
Washington,82%,18%
Minnesota,85%,15%
Virginia,83%,17%
Florida,83%,17%
West Virginia,58%,42%
Vermont,,100%
Idaho,72%,28%
Kentucky,84%,16%
Georgia,90%,10%
Rhode Island,68%,32%
Wisconsin,60%,40%
Illinois,84%,16%
Missouri,77%,23%
Ohio,84%,16%
North Carolina,82%,18%
Maine,67%,33%
Connecticut,84%,16%
Arizona,78%,22%
Kansas,100%,
South Carolina,64%,36%
Oklahoma,79%,21%
Texas,82%,18%
District of Columbia,62%,38%
Tennessee,77%,23%
Utah,76%,24%
Nebraska,58%,42%
Louisiana,56%,44%
Colorado,76%,24%
New Mexico,100%,
Indiana,67%,33%
Montana,,
