Kategorie: Alle Kategorien

Region,Donald Trump: (08.01.16 bis 08.01.16),Hillary Clinton: (08.01.16 bis 08.01.16)
Vermont,98%,2%
New Hampshire,69%,31%
Rhode Island,100%,
Connecticut,90%,10%
Massachusetts,80%,20%
Iowa,69%,31%
District of Columbia,76%,24%
Wyoming,100%,
Nebraska,77%,23%
North Dakota,73%,27%
Maine,61%,39%
Montana,76%,24%
Michigan,83%,17%
North Carolina,77%,23%
Oklahoma,85%,15%
Missouri,73%,27%
Louisiana,77%,23%
Maryland,77%,23%
Oregon,72%,28%
Pennsylvania,77%,23%
New York,76%,24%
Tennessee,82%,18%
New Jersey,72%,28%
Minnesota,77%,23%
Virginia,85%,15%
Alabama,69%,31%
Nevada,76%,24%
Arizona,80%,20%
Kansas,87%,13%
Indiana,69%,31%
South Carolina,80%,20%
Illinois,74%,26%
Colorado,89%,11%
Ohio,78%,22%
South Dakota,57%,43%
Texas,76%,24%
Florida,77%,23%
Arkansas,68%,32%
Wisconsin,71%,29%
Mississippi,85%,15%
California,75%,25%
Delaware,73%,27%
Kentucky,65%,35%
Washington,71%,29%
West Virginia,61%,39%
Utah,68%,32%
Georgia,73%,27%
New Mexico,79%,21%
Alaska,52%,48%
Idaho,100%,
Hawaii,51%,49%
