Kategorie: Alle Kategorien

Region,Donald Trump: (24.01.16 bis 24.01.16),Hillary Clinton: (24.01.16 bis 24.01.16)
Iowa,63%,37%
Idaho,91%,9%
New Hampshire,81%,19%
Missouri,80%,20%
North Dakota,78%,22%
Connecticut,87%,13%
Alaska,71%,29%
District of Columbia,75%,25%
West Virginia,100%,
Nevada,81%,19%
Washington,81%,19%
Florida,77%,23%
New York,80%,20%
Massachusetts,72%,28%
Nebraska,89%,11%
Indiana,76%,24%
Tennessee,85%,15%
Alabama,72%,28%
Colorado,85%,15%
Vermont,46%,54%
South Dakota,76%,24%
Virginia,72%,28%
Oklahoma,76%,24%
California,76%,24%
New Mexico,68%,32%
South Carolina,84%,16%
Maryland,73%,27%
Minnesota,78%,22%
New Jersey,82%,18%
Michigan,75%,25%
Maine,58%,42%
Ohio,91%,9%
Wisconsin,74%,26%
Kansas,65%,35%
Pennsylvania,78%,22%
Georgia,78%,22%
Illinois,70%,30%
Hawaii,83%,17%
Delaware,68%,32%
Utah,71%,29%
Oregon,73%,27%
Mississippi,80%,20%
Texas,73%,27%
North Carolina,78%,22%
Rhode Island,51%,49%
Kentucky,72%,28%
Arizona,78%,22%
Arkansas,62%,38%
Louisiana,68%,32%
Wyoming,100%,
Montana,61%,39%
