Kategorie: Alle Kategorien

Region,Donald Trump: (14.12.15 bis 14.12.15),Hillary Clinton: (14.12.15 bis 14.12.15)
Wyoming,79%,21%
New Hampshire,72%,28%
Connecticut,91%,9%
Rhode Island,100%,
Nevada,85%,15%
New Jersey,86%,14%
South Dakota,100%,
Michigan,87%,13%
Oregon,90%,10%
New York,83%,17%
Pennsylvania,89%,11%
Washington,89%,11%
Arkansas,86%,14%
South Carolina,88%,12%
Tennessee,88%,12%
Massachusetts,89%,11%
California,87%,13%
Illinois,83%,17%
Delaware,73%,27%
Ohio,94%,6%
Virginia,84%,16%
District of Columbia,80%,20%
Maryland,75%,25%
Arizona,93%,7%
Georgia,93%,7%
Vermont,52%,48%
Iowa,87%,13%
Texas,91%,9%
Maine,100%,
Louisiana,83%,17%
Florida,90%,10%
Wisconsin,83%,17%
Colorado,76%,24%
Nebraska,78%,22%
North Carolina,87%,13%
Missouri,88%,12%
Montana,73%,27%
Kentucky,81%,19%
Minnesota,71%,29%
West Virginia,76%,24%
Alabama,81%,19%
Indiana,87%,13%
New Mexico,61%,39%
Alaska,100%,
North Dakota,100%,
Hawaii,100%,
Idaho,76%,24%
Mississippi,76%,24%
Utah,73%,27%
Oklahoma,76%,24%
Kansas,87%,13%
