Kategorie: Alle Kategorien

Region,Donald Trump: (30.11.15 bis 30.11.15),Hillary Clinton: (30.11.15 bis 30.11.15)
Delaware,100%,
Vermont,68%,32%
Rhode Island,81%,19%
District of Columbia,81%,19%
North Dakota,100%,
Alaska,100%,
New Mexico,100%,
New York,89%,11%
South Carolina,85%,15%
North Carolina,88%,12%
New Jersey,83%,17%
West Virginia,76%,24%
Florida,87%,13%
Nevada,88%,12%
Tennessee,86%,14%
Pennsylvania,82%,18%
Nebraska,85%,15%
Mississippi,81%,19%
Georgia,80%,20%
Michigan,84%,16%
Iowa,87%,13%
Oregon,91%,9%
South Dakota,61%,39%
Oklahoma,100%,
Wyoming,100%,
Arizona,80%,20%
New Hampshire,72%,28%
Virginia,89%,11%
Minnesota,78%,22%
Illinois,82%,18%
Ohio,83%,17%
Massachusetts,68%,32%
Wisconsin,73%,27%
California,84%,16%
Texas,84%,16%
Kentucky,66%,34%
Connecticut,63%,37%
Alabama,74%,26%
Louisiana,78%,22%
Colorado,77%,23%
Indiana,80%,20%
Maryland,86%,14%
Arkansas,100%,
Washington,72%,28%
Missouri,68%,32%
Idaho,68%,32%
Utah,59%,41%
Maine,100%,
Montana,100%,
Kansas,81%,19%
Hawaii,100%,
