Kategorie: Alle Kategorien

Region,Donald Trump: (12.02.16 bis 12.02.16),Hillary Clinton: (12.02.16 bis 12.02.16)
Louisiana,82%,18%
New Hampshire,72%,28%
Wyoming,60%,40%
Vermont,36%,64%
Connecticut,64%,36%
Florida,68%,32%
South Carolina,63%,37%
South Dakota,78%,22%
New Jersey,59%,41%
Delaware,65%,35%
Rhode Island,40%,60%
Iowa,53%,47%
Wisconsin,42%,58%
Montana,50%,50%
Maryland,52%,48%
New Mexico,73%,27%
Nebraska,40%,60%
Alabama,57%,43%
Washington,53%,47%
Virginia,57%,43%
Nevada,63%,37%
New York,49%,51%
Maine,45%,55%
Pennsylvania,57%,43%
Michigan,61%,39%
Massachusetts,49%,51%
Arkansas,56%,44%
North Dakota,54%,46%
District of Columbia,45%,55%
Illinois,55%,45%
Kansas,49%,51%
Ohio,58%,42%
Arizona,60%,40%
Utah,56%,44%
Oregon,59%,41%
Indiana,63%,37%
Mississippi,52%,48%
Tennessee,56%,44%
Alaska,100%,
Georgia,59%,41%
California,53%,47%
Texas,58%,42%
Missouri,55%,45%
Colorado,38%,62%
Oklahoma,49%,51%
Minnesota,40%,60%
Kentucky,46%,54%
North Carolina,59%,41%
Idaho,44%,56%
West Virginia,59%,41%
Hawaii,54%,46%
