Kategorie: Alle Kategorien

Region,Donald Trump: (11.11.15 bis 11.11.15),Hillary Clinton: (11.11.15 bis 11.11.15)
West Virginia,100%,
Rhode Island,73%,27%
New Hampshire,76%,24%
Idaho,78%,22%
Indiana,85%,15%
Delaware,72%,28%
Iowa,77%,23%
Wisconsin,81%,19%
Wyoming,100%,
Kentucky,74%,26%
South Dakota,100%,
Missouri,88%,12%
Tennessee,78%,22%
New Jersey,76%,24%
New York,68%,32%
Georgia,83%,17%
Pennsylvania,70%,30%
Illinois,74%,26%
Utah,90%,10%
Massachusetts,76%,24%
Florida,84%,16%
South Carolina,89%,11%
Maine,51%,49%
Louisiana,84%,16%
Nebraska,79%,21%
Virginia,70%,30%
District of Columbia,82%,18%
Alabama,88%,12%
Texas,82%,18%
Hawaii,76%,24%
California,76%,24%
Oklahoma,72%,28%
Ohio,76%,24%
Minnesota,75%,25%
North Carolina,68%,32%
Colorado,75%,25%
New Mexico,61%,39%
Michigan,73%,27%
Alaska,100%,
Arkansas,63%,37%
Connecticut,80%,20%
Arizona,79%,21%
Montana,100%,
Washington,74%,26%
Vermont,100%,
North Dakota,100%,
Nevada,68%,32%
Oregon,64%,36%
Maryland,59%,41%
Kansas,54%,46%
Mississippi,51%,49%
