Kategorie: Alle Kategorien

Region,Donald Trump: (12.03.16 bis 12.03.16),Hillary Clinton: (12.03.16 bis 12.03.16)
Illinois,86%,14%
Ohio,85%,15%
Wyoming,87%,13%
Missouri,85%,15%
Rhode Island,90%,10%
Michigan,82%,18%
Indiana,87%,13%
New York,82%,18%
New Jersey,83%,17%
District of Columbia,81%,19%
North Carolina,85%,15%
Kentucky,83%,17%
Louisiana,91%,9%
Hawaii,77%,23%
Maryland,83%,17%
Iowa,88%,12%
Nebraska,80%,20%
Mississippi,91%,9%
Alabama,90%,10%
Florida,85%,15%
Pennsylvania,82%,18%
Georgia,86%,14%
New Hampshire,74%,26%
Minnesota,92%,8%
South Dakota,76%,24%
Arizona,86%,14%
West Virginia,84%,16%
North Dakota,100%,
Tennessee,86%,14%
Connecticut,88%,12%
Massachusetts,79%,21%
California,81%,19%
Virginia,85%,15%
South Carolina,81%,19%
Oregon,80%,20%
Arkansas,81%,19%
Oklahoma,81%,19%
Maine,69%,31%
Texas,83%,17%
Washington,78%,22%
Colorado,84%,16%
Wisconsin,80%,20%
Utah,81%,19%
Alaska,85%,15%
Nevada,81%,19%
Kansas,90%,10%
New Mexico,78%,22%
Montana,74%,26%
Vermont,57%,43%
Idaho,68%,32%
Delaware,77%,23%
