Kategorie: Alle Kategorien

Region,Donald Trump: (25.12.15 bis 25.12.15),Hillary Clinton: (25.12.15 bis 25.12.15)
New Hampshire,84%,16%
North Dakota,73%,27%
Vermont,67%,33%
Montana,100%,
Rhode Island,79%,21%
Kentucky,91%,9%
Massachusetts,75%,25%
New York,85%,15%
New Jersey,88%,12%
Missouri,90%,10%
Iowa,87%,13%
Nevada,75%,25%
Oklahoma,76%,24%
Maryland,79%,21%
Michigan,87%,13%
Arkansas,84%,16%
Washington,90%,10%
Connecticut,68%,32%
Pennsylvania,83%,17%
West Virginia,78%,22%
North Carolina,81%,19%
Florida,84%,16%
California,80%,20%
Idaho,51%,49%
District of Columbia,78%,22%
Minnesota,92%,8%
Ohio,79%,21%
Wisconsin,88%,12%
Colorado,85%,15%
Hawaii,76%,24%
Georgia,78%,22%
Illinois,72%,28%
Tennessee,79%,21%
Alabama,79%,21%
Oregon,89%,11%
Virginia,84%,16%
Indiana,71%,29%
Nebraska,79%,21%
South Carolina,86%,14%
Maine,100%,
Arizona,66%,34%
Texas,79%,21%
Delaware,100%,
South Dakota,,100%
Louisiana,68%,32%
Utah,41%,59%
Mississippi,100%,
New Mexico,51%,49%
Kansas,81%,19%
Alaska,,
Wyoming,,
