Kategorie: Alle Kategorien

Region,Donald Trump: (31.03.16 bis 31.03.16),Hillary Clinton: (31.03.16 bis 31.03.16)
Vermont,83%,17%
Wisconsin,70%,30%
District of Columbia,82%,18%
Montana,88%,12%
Delaware,87%,13%
North Dakota,86%,14%
Pennsylvania,78%,22%
New Jersey,79%,21%
Arizona,79%,21%
Massachusetts,73%,27%
New York,69%,31%
Connecticut,80%,20%
Maryland,77%,23%
Arkansas,81%,19%
Oregon,80%,20%
California,78%,22%
Oklahoma,81%,19%
Louisiana,83%,17%
Illinois,79%,21%
Florida,80%,20%
South Carolina,88%,12%
Wyoming,100%,
New Hampshire,75%,25%
Michigan,80%,20%
Ohio,77%,23%
Georgia,82%,18%
Virginia,79%,21%
Rhode Island,68%,32%
Missouri,78%,22%
Alabama,84%,16%
Indiana,74%,26%
Nevada,70%,30%
Colorado,78%,22%
Utah,68%,32%
Tennessee,73%,27%
Texas,81%,19%
Iowa,78%,22%
South Dakota,63%,37%
New Mexico,79%,21%
Nebraska,81%,19%
North Carolina,77%,23%
Minnesota,74%,26%
Mississippi,73%,27%
Idaho,79%,21%
Kentucky,83%,17%
Washington,69%,31%
Hawaii,67%,33%
West Virginia,60%,40%
Kansas,69%,31%
Alaska,57%,43%
Maine,55%,45%
