Kategorie: Alle Kategorien

Region,Donald Trump: (28.02.16 bis 28.02.16),Hillary Clinton: (28.02.16 bis 28.02.16)
Alabama,83%,17%
Delaware,84%,16%
Rhode Island,63%,37%
Arkansas,80%,20%
New Hampshire,62%,38%
Tennessee,66%,34%
Vermont,78%,22%
Oklahoma,71%,29%
New Jersey,74%,26%
District of Columbia,66%,34%
New York,69%,31%
Connecticut,67%,33%
Maine,61%,39%
Massachusetts,65%,35%
Virginia,69%,31%
Georgia,74%,26%
Michigan,75%,25%
West Virginia,76%,24%
Pennsylvania,71%,29%
Ohio,74%,26%
Idaho,79%,21%
Kentucky,84%,16%
Maryland,67%,33%
Florida,74%,26%
Mississippi,76%,24%
Nebraska,76%,24%
Washington,68%,32%
Texas,73%,27%
Nevada,78%,22%
North Carolina,70%,30%
South Carolina,47%,53%
Alaska,100%,
Illinois,71%,29%
Indiana,79%,21%
Minnesota,63%,37%
California,69%,31%
Colorado,68%,32%
Iowa,69%,31%
Wisconsin,74%,26%
North Dakota,49%,51%
Arizona,72%,28%
Oregon,68%,32%
Missouri,67%,33%
South Dakota,100%,
Louisiana,68%,32%
Kansas,74%,26%
New Mexico,78%,22%
Utah,71%,29%
Montana,81%,19%
Hawaii,58%,42%
Wyoming,45%,55%
