Kategorie: Alle Kategorien

Region,Donald Trump: (18.12.15 bis 18.12.15),Hillary Clinton: (18.12.15 bis 18.12.15)
Connecticut,89%,11%
North Dakota,100%,
South Dakota,76%,24%
Indiana,96%,4%
Wyoming,100%,
Wisconsin,87%,13%
Kentucky,83%,17%
New Jersey,87%,13%
New Hampshire,70%,30%
Michigan,78%,22%
Rhode Island,100%,
New York,85%,15%
Colorado,80%,20%
Mississippi,100%,
Idaho,100%,
Vermont,68%,32%
District of Columbia,91%,9%
Oregon,80%,20%
Maine,68%,32%
Pennsylvania,82%,18%
Utah,90%,10%
Georgia,84%,16%
Hawaii,81%,19%
Oklahoma,89%,11%
North Carolina,90%,10%
Tennessee,92%,8%
Massachusetts,80%,20%
Minnesota,93%,7%
Florida,85%,15%
California,85%,15%
Missouri,78%,22%
Virginia,81%,19%
New Mexico,79%,21%
Ohio,89%,11%
Illinois,84%,16%
Nebraska,80%,20%
Washington,80%,20%
West Virginia,76%,24%
Texas,87%,13%
Arizona,81%,19%
Iowa,51%,49%
Alabama,88%,12%
Nevada,83%,17%
Louisiana,78%,22%
Montana,68%,32%
Maryland,77%,23%
Alaska,61%,39%
Delaware,100%,
Arkansas,81%,19%
South Carolina,81%,19%
Kansas,70%,30%
