Kategorie: Alle Kategorien

Region,Donald Trump: (05.12.15 bis 05.12.15),Hillary Clinton: (05.12.15 bis 05.12.15)
Wyoming,100%,
New Hampshire,34%,66%
North Carolina,90%,10%
Louisiana,100%,
Delaware,100%,
North Dakota,68%,32%
Connecticut,83%,17%
Vermont,100%,
Alaska,44%,56%
Mississippi,81%,19%
New Jersey,84%,16%
Oklahoma,86%,14%
Georgia,84%,16%
Alabama,100%,
Florida,84%,16%
Utah,81%,19%
New Mexico,76%,24%
New York,82%,18%
Iowa,74%,26%
Wisconsin,83%,17%
Michigan,90%,10%
Virginia,83%,17%
District of Columbia,83%,17%
Rhode Island,63%,37%
Kentucky,87%,13%
Minnesota,86%,14%
Maryland,83%,17%
Massachusetts,74%,26%
Hawaii,100%,
California,86%,14%
Nevada,77%,23%
Colorado,88%,12%
Oregon,89%,11%
Missouri,70%,30%
South Carolina,100%,
Illinois,81%,19%
Pennsylvania,81%,19%
Ohio,86%,14%
Arizona,79%,21%
Indiana,76%,24%
Arkansas,68%,32%
Washington,78%,22%
Tennessee,77%,23%
Idaho,68%,32%
Texas,79%,21%
Maine,61%,39%
Montana,100%,
Nebraska,34%,66%
West Virginia,100%,
Kansas,100%,
South Dakota,,
