Kategorie: Alle Kategorien

Region,Donald Trump: (10.03.16 bis 10.03.16),Hillary Clinton: (10.03.16 bis 10.03.16)
Vermont,66%,34%
West Virginia,83%,17%
Wyoming,71%,29%
Michigan,68%,32%
Missouri,75%,25%
North Carolina,71%,29%
District of Columbia,69%,31%
Illinois,63%,37%
Ohio,74%,26%
New Hampshire,70%,30%
Rhode Island,57%,43%
Florida,68%,32%
New York,71%,29%
Indiana,73%,27%
Maine,71%,29%
Kentucky,74%,26%
New Jersey,70%,30%
Montana,67%,33%
Idaho,69%,31%
South Carolina,78%,22%
Pennsylvania,69%,31%
Massachusetts,67%,33%
California,70%,30%
Arkansas,78%,22%
Iowa,79%,21%
South Dakota,100%,
Georgia,70%,30%
Virginia,70%,30%
Arizona,70%,30%
Nebraska,72%,28%
Hawaii,84%,16%
Tennessee,78%,22%
Kansas,66%,34%
Connecticut,72%,28%
Nevada,68%,32%
Texas,72%,28%
Maryland,67%,33%
Minnesota,70%,30%
Mississippi,74%,26%
Oklahoma,75%,25%
Delaware,61%,39%
Colorado,67%,33%
Washington,65%,35%
Utah,72%,28%
Alabama,72%,28%
Wisconsin,71%,29%
Louisiana,81%,19%
Oregon,69%,31%
New Mexico,70%,30%
Alaska,68%,32%
North Dakota,44%,56%
