Kategorie: Alle Kategorien

Region,Donald Trump: (16.12.15 bis 16.12.15),Hillary Clinton: (16.12.15 bis 16.12.15)
Rhode Island,75%,25%
New Hampshire,92%,8%
Massachusetts,84%,16%
Vermont,83%,17%
Montana,87%,13%
Maryland,89%,11%
Nevada,91%,9%
Oregon,93%,7%
New Jersey,89%,11%
Pennsylvania,90%,10%
New York,89%,11%
Ohio,87%,13%
South Carolina,75%,25%
West Virginia,78%,22%
Michigan,89%,11%
Connecticut,83%,17%
Arizona,92%,8%
Alabama,91%,9%
Kentucky,84%,16%
Indiana,90%,10%
District of Columbia,81%,19%
Nebraska,72%,28%
Minnesota,87%,13%
Illinois,90%,10%
Georgia,88%,12%
Virginia,84%,16%
Idaho,100%,
Washington,88%,12%
Colorado,86%,14%
California,88%,12%
Missouri,91%,9%
Florida,87%,13%
Mississippi,85%,15%
Iowa,74%,26%
North Carolina,86%,14%
Utah,77%,23%
South Dakota,100%,
Texas,86%,14%
Tennessee,78%,22%
Wisconsin,80%,20%
Wyoming,100%,
Louisiana,86%,14%
Oklahoma,78%,22%
North Dakota,73%,27%
Maine,71%,29%
New Mexico,71%,29%
Alaska,100%,
Arkansas,75%,25%
Hawaii,69%,31%
Delaware,42%,58%
Kansas,76%,24%
