Kategorie: Alle Kategorien

Region,Donald Trump: (29.03.16 bis 29.03.16),Hillary Clinton: (29.03.16 bis 29.03.16)
Wisconsin,79%,21%
Alaska,71%,29%
District of Columbia,73%,27%
Iowa,89%,11%
Maine,77%,23%
West Virginia,76%,24%
Mississippi,82%,18%
Pennsylvania,78%,22%
Vermont,49%,51%
New York,72%,28%
Massachusetts,77%,23%
Connecticut,75%,25%
Arkansas,72%,28%
Indiana,78%,22%
Florida,79%,21%
Delaware,84%,16%
Arizona,81%,19%
Washington,68%,32%
Rhode Island,80%,20%
Illinois,71%,29%
Maryland,79%,21%
New Jersey,72%,28%
Ohio,81%,19%
Hawaii,67%,33%
New Mexico,80%,20%
Nebraska,76%,24%
Georgia,85%,15%
Wyoming,73%,27%
Alabama,84%,16%
Kentucky,75%,25%
Missouri,73%,27%
Minnesota,70%,30%
Tennessee,81%,19%
Oklahoma,88%,12%
Nevada,69%,31%
Kansas,85%,15%
Michigan,69%,31%
North Dakota,100%,
California,71%,29%
South Dakota,79%,21%
Montana,59%,41%
Texas,78%,22%
Colorado,73%,27%
South Carolina,84%,16%
New Hampshire,56%,44%
North Carolina,73%,27%
Utah,76%,24%
Virginia,72%,28%
Oregon,69%,31%
Louisiana,79%,21%
Idaho,60%,40%
