Kategorie: Alle Kategorien

Region,Donald Trump: (22.06.16 bis 22.06.16),Hillary Clinton: (22.06.16 bis 22.06.16)
District of Columbia,61%,39%
New Mexico,70%,30%
Oregon,66%,34%
Rhode Island,82%,18%
Vermont,47%,53%
Nevada,79%,21%
Indiana,68%,32%
Arizona,72%,28%
New Hampshire,69%,31%
New Jersey,68%,32%
Massachusetts,65%,35%
Louisiana,74%,26%
South Dakota,79%,21%
Iowa,71%,29%
North Carolina,62%,38%
Connecticut,65%,35%
Delaware,76%,24%
California,71%,29%
New York,66%,34%
Missouri,64%,36%
Mississippi,71%,29%
Arkansas,76%,24%
Georgia,69%,31%
Virginia,66%,34%
Idaho,66%,34%
Alaska,33%,67%
Kansas,76%,24%
West Virginia,86%,14%
Colorado,62%,38%
Michigan,70%,30%
Oklahoma,64%,36%
Washington,64%,36%
Wyoming,100%,
North Dakota,56%,44%
Montana,55%,45%
Maryland,69%,31%
Utah,75%,25%
Florida,66%,34%
Pennsylvania,67%,33%
Illinois,68%,32%
South Carolina,68%,32%
Minnesota,63%,37%
Nebraska,74%,26%
Texas,64%,36%
Ohio,62%,38%
Alabama,70%,30%
Tennessee,63%,37%
Maine,70%,30%
Wisconsin,60%,40%
Hawaii,81%,19%
Kentucky,79%,21%
