Kategorie: Alle Kategorien

Region,Donald Trump: (22.01.16 bis 22.01.16),Hillary Clinton: (22.01.16 bis 22.01.16)
New Hampshire,64%,36%
Vermont,58%,42%
Iowa,51%,49%
Nevada,74%,26%
Rhode Island,100%,
West Virginia,88%,12%
New Mexico,75%,25%
North Dakota,59%,41%
Massachusetts,73%,27%
Connecticut,79%,21%
Oklahoma,67%,33%
District of Columbia,69%,31%
Wyoming,51%,49%
Minnesota,74%,26%
Idaho,68%,32%
Missouri,83%,17%
New Jersey,83%,17%
Delaware,71%,29%
New York,71%,29%
Washington,70%,30%
South Carolina,84%,16%
Pennsylvania,80%,20%
Colorado,73%,27%
Alaska,29%,71%
Maine,76%,24%
Virginia,73%,27%
California,77%,23%
Ohio,76%,24%
Florida,70%,30%
Michigan,71%,29%
Illinois,72%,28%
Georgia,69%,31%
Maryland,81%,19%
Oregon,72%,28%
Indiana,75%,25%
Tennessee,80%,20%
Kentucky,69%,31%
Montana,57%,43%
Arkansas,64%,36%
Texas,73%,27%
Utah,68%,32%
Alabama,74%,26%
Wisconsin,63%,37%
Hawaii,68%,32%
Louisiana,63%,37%
North Carolina,74%,26%
Arizona,64%,36%
Kansas,75%,25%
Mississippi,66%,34%
Nebraska,60%,40%
South Dakota,58%,42%
