Kategorie: Alle Kategorien

Region,Donald Trump: (27.03.16 bis 27.03.16),Hillary Clinton: (27.03.16 bis 27.03.16)
North Dakota,83%,17%
Idaho,84%,16%
Rhode Island,89%,11%
Wisconsin,73%,27%
Utah,72%,28%
Missouri,78%,22%
New Hampshire,81%,19%
New Jersey,72%,28%
Vermont,55%,45%
New York,71%,29%
Alabama,81%,19%
Massachusetts,67%,33%
Pennsylvania,72%,28%
Illinois,66%,34%
Florida,78%,22%
Oklahoma,72%,28%
Minnesota,69%,31%
Indiana,73%,27%
Louisiana,78%,22%
South Dakota,76%,24%
Washington,57%,43%
California,70%,30%
Wyoming,100%,
Arizona,81%,19%
Connecticut,73%,27%
Michigan,67%,33%
Virginia,78%,22%
Oregon,73%,27%
Hawaii,56%,44%
Nevada,73%,27%
Ohio,70%,30%
Maryland,69%,31%
New Mexico,63%,37%
Texas,72%,28%
Nebraska,100%,
Kentucky,85%,15%
District of Columbia,62%,38%
Colorado,66%,34%
West Virginia,58%,42%
Tennessee,68%,32%
Alaska,64%,36%
Montana,76%,24%
Mississippi,73%,27%
North Carolina,73%,27%
Maine,51%,49%
South Carolina,85%,15%
Iowa,68%,32%
Georgia,69%,31%
Kansas,91%,9%
Delaware,58%,42%
Arkansas,48%,52%
