Kategorie: Alle Kategorien

Region,Donald Trump: (06.01.16 bis 06.01.16),Hillary Clinton: (06.01.16 bis 06.01.16)
Vermont,85%,15%
New Hampshire,76%,24%
Maine,79%,21%
North Dakota,100%,
West Virginia,84%,16%
Massachusetts,82%,18%
Rhode Island,83%,17%
District of Columbia,73%,27%
Nevada,82%,18%
Michigan,82%,18%
New Jersey,75%,25%
Pennsylvania,74%,26%
Wyoming,100%,
Arkansas,80%,20%
Florida,84%,16%
Illinois,78%,22%
South Carolina,72%,28%
Virginia,81%,19%
Hawaii,76%,24%
Indiana,82%,18%
Connecticut,79%,21%
Colorado,81%,19%
Kentucky,88%,12%
Alabama,75%,25%
Wisconsin,88%,12%
North Carolina,84%,16%
Oklahoma,90%,10%
Iowa,55%,45%
Idaho,100%,
Washington,79%,21%
California,77%,23%
Oregon,72%,28%
New York,73%,27%
Georgia,74%,26%
South Dakota,68%,32%
Kansas,84%,16%
Louisiana,78%,22%
Montana,,100%
Ohio,70%,30%
Maryland,65%,35%
Arizona,79%,21%
Mississippi,76%,24%
Tennessee,72%,28%
Texas,76%,24%
Delaware,34%,66%
New Mexico,65%,35%
Missouri,68%,32%
Minnesota,59%,41%
Alaska,51%,49%
Nebraska,76%,24%
Utah,76%,24%
